10.40	6.12	0.1413	0.00467	1.839	50.46
10.50	9.92	0.1433	0.00501	2.358	49.62
10.60	15.09	0.1468	0.00552	2.812	51.26
10.70	18.02	0.1493	0.00587	3.019	52.95
10.80	21.12	0.1533	0.00639	3.254	55.99
10.90	23.44	0.1559	0.00671	3.390	57.71
11.00	26.08	0.1598	0.00720	3.558	60.47
11.10	28.35	0.1626	0.00753	3.665	62.11
11.20	31.24	0.1667	0.00801	3.803	64.57
11.30	33.94	0.1695	0.00832	3.893	66.01
11.40	36.50	0.1737	0.00879	3.996	68.28
11.50	37.57	0.1762	0.00906	4.044	69.55
11.60	36.03	0.1766	0.00911	4.031	70.01
11.70	34.80	0.1767	0.00912	4.016	70.24
11.80	34.42	0.1767	0.00911	4.006	70.19
11.90	33.29	0.1764	0.00908	3.988	70.23
12.00	30.89	0.1732	0.00873	3.901	68.63
12.10	28.17	0.1703	0.00840	3.803	67.22
12.20	24.06	0.1657	0.00788	3.636	65.10
12.30	22.04	0.1629	0.00755	3.521	63.45
12.40	18.32	0.1587	0.00705	3.307	61.25
12.50	15.36	0.1561	0.00672	3.115	60.13
12.60	11.05	0.1523	0.00621	2.729	58.61
12.70	7.43	0.1500	0.00588	2.279	59.56
12.80	3.50	0.1478	0.00539	1.328	64.92
12.90	2.16	0.1466	0.00505	0.769	70.69
13.00	1.11	0.1455	0.00459	0.243	82.54
13.10	0.82	0.1449	0.00428	0.114	87.45
13.20	0.56	0.1433	0.00388	0.037	94.02
13.30	0.62	0.1404	0.00358	0.049	81.83
13.40	1.50	0.1365	0.00351	0.383	56.06
13.50	1.94	0.1361	0.00349	0.552	50.98
13.60	2.11	0.1357	0.00345	0.613	49.14
13.70	2.26	0.1355	0.00344	0.663	48.02
13.80	3.51	0.1357	0.00365	1.081	45.25
13.90	6.60	0.1371	0.00400	1.724	43.13
14.00	11.98	0.1401	0.00451	2.335	44.09
14.10	14.45	0.1421	0.00486	2.578	46.14
14.20	19.01	0.1456	0.00536	2.900	48.88
14.30	20.59	0.1480	0.00569	3.050	51.11
14.40	24.01	0.1518	0.00620	3.275	54.13
14.50	25.07	0.1544	0.00653	3.383	56.22
14.60	28.19	0.1584	0.00702	3.560	59.00
14.70	30.47	0.1610	0.00734	3.667	60.70
14.80	33.25	0.1651	0.00782	3.802	63.26
14.90	34.52	0.1680	0.00815	3.873	64.94
15.00	35.95	0.1721	0.00861	3.963	67.33
15.10	36.33	0.1738	0.00881	3.998	68.40
15.20	35.11	0.1741	0.00883	3.984	68.68
15.30	34.48	0.1741	0.00884	3.975	68.76
15.40	34.22	0.1741	0.00883	3.967	68.70
15.50	33.69	0.1735	0.00877	3.952	68.45
15.60	30.00	0.1699	0.00836	3.834	66.72
15.70	26.35	0.1669	0.00803	3.716	65.52
15.80	23.14	0.1627	0.00752	3.548	63.03
15.90	20.56	0.1599	0.00719	3.413	61.57
16.00	17.34	0.1558	0.00669	3.194	59.07
16.10	14.71	0.1532	0.00635	2.999	57.66
16.20	10.10	0.1495	0.00586	2.577	56.53
16.30	6.94	0.1474	0.00552	2.140	57.07
16.40	3.15	0.1450	0.00502	1.176	62.73
16.50	1.87	0.1440	0.00469	0.621	69.32
16.60	1.04	0.1427	0.00422	0.207	77.96
16.70	0.78	0.1420	0.00390	0.098	80.54
16.80	0.51	0.1412	0.00356	0.026	88.91
16.90	0.44	0.1404	0.00339	0.015	91.30
17.00	0.53	0.1398	0.00332	0.027	80.76
17.10	0.45	0.1395	0.00330	0.016	87.75
17.20	0.42	0.1392	0.00323	0.013	87.70
17.30	0.44	0.1392	0.00325	0.014	87.19
17.40	0.62	0.1394	0.00348	0.050	79.26
17.50	1.02	0.1396	0.00380	0.191	70.13
17.60	2.45	0.1404	0.00431	0.843	58.52
17.70	4.93	0.1416	0.00466	1.616	52.54
17.80	10.27	0.1446	0.00518	2.427	50.76
17.90	13.70	0.1469	0.00552	2.739	51.70
18.00	18.10	0.1505	0.00602	3.065	54.07
18.10	20.43	0.1530	0.00635	3.223	55.84
18.20	23.56	0.1569	0.00684	3.425	58.58
18.30	25.52	0.1596	0.00716	3.538	60.31
18.40	28.70	0.1636	0.00765	3.695	62.79
